year,month,tax_revenue,corporate_tax,vat,income_tax,customs_duty
2020,Jan,4500,1200,1600,1100,600
2020,Feb,4700,1250,1650,1150,650
2020,Mar,4200,1150,1500,1050,500
2020,Apr,3800,950,1350,950,550
2020,May,4000,1000,1400,1050,550
2021,Jan,5000,1350,1700,1300,650
2021,Feb,5100,1380,1720,1320,680
2021,Mar,4800,1300,1650,1250,600
2021,Apr,4600,1200,1600,1150,650
2022,Jan,5200,1400,1750,1350,700
2022,Feb,5300,1450,1780,1370,700
2022,Mar,5500,1500,1800,1400,800
2023,Jan,6000,1650,2000,1500,850
2023,Feb,6100,1680,2050,1550,820
2023,Mar,6300,1750,2100,1600,850
2023,Apr,6400,1800,2150,1650,800
2024,Jan,6700,1900,2250,1750,900
2024,Feb,6900,1950,2300,1800,850
2024,Mar,7100,2000,2350,1850,900
